pruid,prname,date,numconf,numtotal,numtoday
13,New Brunswick,4/16/2020,117,117,0
12,Nova Scotia,4/16/2020,579,579,30
11,Prince Edward Island,4/16/2020,26,26,0
60,Yukon,4/16/2020,8,8,0
61,Northwest Territories,4/16/2020,5,5,0
62,Nunavut,4/16/2020,0,0,0
99,Repatriated travellers,4/16/2020,13,13,0
1,Canada,4/16/2020,30081,30092,1711
59,British Columbia,4/17/2020,1575,1575,14
48,Alberta,4/17/2020,2397,2397,239
47,Saskatchewan,4/17/2020,306,307,2
46,Manitoba,4/17/2020,239,250,0
35,Ontario,4/17/2020,9525,9525,564
24,Quebec,4/17/2020,16798,16798,941
10,Newfoundland and Labrador,4/17/2020,256,256,4
13,New Brunswick,4/17/2020,117,117,0
12,Nova Scotia,4/17/2020,606,606,27
11,Prince Edward Island,4/17/2020,26,26,0
60,Yukon,4/17/2020,9,9,1
61,Northwest Territories,4/17/2020,5,5,0
62,Nunavut,4/17/2020,0,0,0
99,Repatriated travellers,4/17/2020,13,13,0
1,Canada,4/17/2020,31872,31884,1792
